"","hour","starts","ends"
"1",1,-28,62
"2",2,-8,45
"3",3,-3,9
"4",4,-4,2
"5",5,-10,2
"6",6,-71,33
"7",7,-369,72
"8",8,-803,162
"9",9,-397,158
"10",10,-272,104
"11",11,-249,115
"12",12,-226,187
"13",13,-173,198
"14",14,-175,177
"15",15,-180,178
"16",16,-200,363
"17",17,-321,671
"18",18,-301,547
"19",19,-267,451
"20",20,-207,273
"21",21,-124,217
"22",22,-123,171
"23",23,-75,106
"24",24,0,0
