"","hour","starts","ends"
"1",1,-14,53
"2",2,-9,33
"3",3,-4,10
"4",4,-1,12
"5",5,-60,13
"6",6,-264,91
"7",7,-793,269
"8",8,-1082,402
"9",9,-900,399
"10",10,-587,385
"11",11,-663,580
"12",12,-663,624
"13",13,-679,767
"14",14,-686,710
"15",15,-647,795
"16",16,-763,1087
"17",17,-959,1449
"18",18,-946,1213
"19",19,-612,898
"20",20,-448,580
"21",21,-268,342
"22",22,-90,204
"23",23,-62,182
"24",24,0,0
