"","hour","starts","ends"
"1",1,-3,0
"2",2,-6,3
"3",3,0,0
"4",4,-1,0
"5",5,-3,33
"6",6,-5,592
"7",7,-28,1073
"8",8,-75,1072
"9",9,-70,428
"10",10,-80,154
"11",11,-170,183
"12",12,-226,263
"13",13,-269,225
"14",14,-285,153
"15",15,-437,200
"16",16,-903,221
"17",17,-1037,217
"18",18,-414,165
"19",19,-266,142
"20",20,-185,68
"21",21,-107,44
"22",22,-86,22
"23",23,-52,20
"24",24,0,0
