"","hour","starts","ends"
"1",1,-33,56
"2",2,-24,30
"3",3,-9,24
"4",4,-7,8
"5",5,-20,34
"6",6,-97,167
"7",7,-116,333
"8",8,-411,465
"9",9,-380,306
"10",10,-228,201
"11",11,-206,186
"12",12,-234,196
"13",13,-223,196
"14",14,-211,199
"15",15,-331,284
"16",16,-505,322
"17",17,-746,463
"18",18,-404,378
"19",19,-357,388
"20",20,-252,279
"21",21,-183,235
"22",22,-180,160
"23",23,-68,103
"24",24,0,0
