"","hour","starts","ends"
"1",1,-12,40
"2",2,-2,7
"3",3,0,3
"4",4,-4,1
"5",5,-12,2
"6",6,-45,2
"7",7,-123,35
"8",8,-360,42
"9",9,-180,11
"10",10,-166,28
"11",11,-114,46
"12",12,-89,53
"13",13,-146,57
"14",14,-140,116
"15",15,-76,97
"16",16,-91,183
"17",17,-103,244
"18",18,-96,234
"19",19,-87,161
"20",20,-71,113
"21",21,-60,98
"22",22,-47,87
"23",23,-21,79
"24",24,0,0
