"","hour","starts","ends"
"1",1,-1,5
"2",2,0,1
"3",3,-1,0
"4",4,-2,0
"5",5,-8,0
"6",6,-35,2
"7",7,-35,10
"8",8,-84,18
"9",9,-48,11
"10",10,-44,23
"11",11,-42,10
"12",12,-25,23
"13",13,-34,22
"14",14,-27,30
"15",15,-33,29
"16",16,-54,40
"17",17,-40,35
"18",18,-30,51
"19",19,-41,50
"20",20,-12,43
"21",21,-10,55
"22",22,-9,61
"23",23,-7,32
"24",24,0,0
