"","hour","starts","ends"
"1",1,-83,53
"2",2,-59,37
"3",3,-7,15
"4",4,-4,44
"5",5,-82,229
"6",6,-747,452
"7",7,-1691,1267
"8",8,-2167,2037
"9",9,-786,682
"10",10,-588,463
"11",11,-571,556
"12",12,-730,641
"13",13,-644,661
"14",14,-574,663
"15",15,-696,1028
"16",16,-990,1477
"17",17,-1993,1791
"18",18,-1713,1382
"19",19,-957,848
"20",20,-558,536
"21",21,-447,373
"22",22,-325,324
"23",23,-162,229
"24",24,0,0
