"","hour","starts","ends"
"1",1,-73,104
"2",2,-52,63
"3",3,-16,18
"4",4,-10,19
"5",5,-67,16
"6",6,-168,49
"7",7,-595,105
"8",8,-1366,146
"9",9,-528,141
"10",10,-340,192
"11",11,-318,265
"12",12,-357,330
"13",13,-437,299
"14",14,-348,351
"15",15,-348,490
"16",16,-344,750
"17",17,-495,1256
"18",18,-484,913
"19",19,-435,672
"20",20,-390,521
"21",21,-245,360
"22",22,-187,252
"23",23,-143,193
"24",24,0,0
