"","hour","starts","ends"
"1",1,-34,34
"2",2,-24,10
"3",3,-9,7
"4",4,-5,18
"5",5,-18,56
"6",6,-55,346
"7",7,-338,1435
"8",8,-753,1904
"9",9,-766,1257
"10",10,-572,744
"11",11,-735,757
"12",12,-830,849
"13",13,-989,840
"14",14,-1048,785
"15",15,-1114,780
"16",16,-1773,945
"17",17,-2013,1047
"18",18,-1371,820
"19",19,-841,493
"20",20,-427,336
"21",21,-328,231
"22",22,-212,149
"23",23,-162,106
"24",24,0,0
