"","hour","starts","ends"
"1",1,-54,50
"2",2,-28,19
"3",3,-10,8
"4",4,-5,3
"5",5,-9,12
"6",6,-71,48
"7",7,-242,188
"8",8,-385,214
"9",9,-487,246
"10",10,-329,249
"11",11,-330,399
"12",12,-378,415
"13",13,-425,460
"14",14,-415,409
"15",15,-400,405
"16",16,-419,462
"17",17,-545,677
"18",18,-441,499
"19",19,-370,421
"20",20,-252,290
"21",21,-223,296
"22",22,-158,235
"23",23,-119,107
"24",24,0,0
