"","hour","starts","ends"
"1",1,-44,104
"2",2,-24,55
"3",3,-8,15
"4",4,-10,13
"5",5,-48,8
"6",6,-213,22
"7",7,-705,69
"8",8,-1629,225
"9",9,-887,279
"10",10,-664,385
"11",11,-575,460
"12",12,-543,449
"13",13,-489,472
"14",14,-458,502
"15",15,-472,645
"16",16,-449,907
"17",17,-687,1492
"18",18,-715,1129
"19",19,-571,810
"20",20,-387,577
"21",21,-322,416
"22",22,-207,308
"23",23,-169,186
"24",24,0,0
