"","hour","starts","ends"
"1",1,-66,57
"2",2,-35,34
"3",3,-15,12
"4",4,-13,5
"5",5,-127,34
"6",6,-500,158
"7",7,-1118,176
"8",8,-1224,428
"9",9,-782,617
"10",10,-631,502
"11",11,-568,685
"12",12,-739,976
"13",13,-930,926
"14",14,-918,993
"15",15,-813,1001
"16",16,-987,1337
"17",17,-1275,1988
"18",18,-1147,1243
"19",19,-750,902
"20",20,-627,583
"21",21,-673,437
"22",22,-458,346
"23",23,-216,188
"24",24,0,0
