"","hour","starts","ends"
"1",1,-21,13
"2",2,-21,5
"3",3,-2,2
"4",4,0,0
"5",5,-5,20
"6",6,-94,598
"7",7,-153,2061
"8",8,-228,1880
"9",9,-189,750
"10",10,-214,472
"11",11,-415,439
"12",12,-618,668
"13",13,-626,633
"14",14,-587,403
"15",15,-775,421
"16",16,-1801,543
"17",17,-1729,662
"18",18,-891,446
"19",19,-536,312
"20",20,-302,174
"21",21,-181,105
"22",22,-129,84
"23",23,-70,28
"24",24,0,0
