"","hour","starts","ends"
"1",1,-214,112
"2",2,-109,56
"3",3,-34,21
"4",4,-25,7
"5",5,-26,55
"6",6,-46,217
"7",7,-216,942
"8",8,-583,1702
"9",9,-539,1264
"10",10,-699,1183
"11",11,-1019,1527
"12",12,-1455,1629
"13",13,-1580,1643
"14",14,-1721,1674
"15",15,-1949,1614
"16",16,-2097,1799
"17",17,-2530,2159
"18",18,-1983,1899
"19",19,-1644,1517
"20",20,-1400,1020
"21",21,-1153,666
"22",22,-793,452
"23",23,-491,266
"24",24,0,0
