"","hour","starts","ends"
"1",1,-49,26
"2",2,-20,18
"3",3,-7,6
"4",4,-24,4
"5",5,-38,20
"6",6,-148,54
"7",7,-167,210
"8",8,-355,449
"9",9,-273,478
"10",10,-275,453
"11",11,-358,376
"12",12,-342,361
"13",13,-372,343
"14",14,-382,343
"15",15,-365,436
"16",16,-393,592
"17",17,-628,531
"18",18,-564,524
"19",19,-533,440
"20",20,-363,227
"21",21,-284,183
"22",22,-227,125
"23",23,-138,76
"24",24,0,0
