"","hour","starts","ends"
"1",1,-3,21
"2",2,-6,23
"3",3,-5,0
"4",4,0,0
"5",5,-16,47
"6",6,-61,214
"7",7,-164,527
"8",8,-347,1551
"9",9,-386,790
"10",10,-318,439
"11",11,-496,545
"12",12,-670,744
"13",13,-719,798
"14",14,-797,720
"15",15,-883,677
"16",16,-1411,794
"17",17,-1511,959
"18",18,-961,763
"19",19,-591,464
"20",20,-395,269
"21",21,-199,137
"22",22,-111,83
"23",23,-47,63
"24",24,0,0
