"","hour","starts","ends"
"1",1,-64,61
"2",2,-88,41
"3",3,-5,27
"4",4,-8,8
"5",5,-197,11
"6",6,-510,52
"7",7,-1035,291
"8",8,-1180,330
"9",9,-563,320
"10",10,-470,294
"11",11,-454,360
"12",12,-508,554
"13",13,-545,540
"14",14,-492,479
"15",15,-446,578
"16",16,-445,889
"17",17,-602,1475
"18",18,-516,890
"19",19,-414,589
"20",20,-335,418
"21",21,-228,304
"22",22,-203,222
"23",23,-139,174
"24",24,0,0
