"","hour","starts","ends"
"1",1,-104,79
"2",2,-53,55
"3",3,-12,12
"4",4,-5,7
"5",5,-46,34
"6",6,-69,554
"7",7,-403,1478
"8",8,-904,2007
"9",9,-829,1110
"10",10,-586,557
"11",11,-699,471
"12",12,-858,699
"13",13,-642,675
"14",14,-589,509
"15",15,-1026,436
"16",16,-1907,549
"17",17,-1663,858
"18",18,-1079,875
"19",19,-823,721
"20",20,-535,559
"21",21,-445,479
"22",22,-318,315
"23",23,-336,277
"24",24,0,0
