"","hour","starts","ends"
"1",1,-47,52
"2",2,-24,29
"3",3,-11,5
"4",4,-5,8
"5",5,-89,78
"6",6,-338,100
"7",7,-619,434
"8",8,-926,474
"9",9,-511,487
"10",10,-524,568
"11",11,-678,765
"12",12,-863,917
"13",13,-835,1000
"14",14,-895,1097
"15",15,-943,1046
"16",16,-1229,1367
"17",17,-1261,1540
"18",18,-1190,1071
"19",19,-987,802
"20",20,-557,408
"21",21,-352,298
"22",22,-164,223
"23",23,-108,101
"24",24,0,0
