"","hour","starts","ends"
"1",1,-79,122
"2",2,-33,71
"3",3,-9,12
"4",4,-9,5
"5",5,-56,20
"6",6,-230,114
"7",7,-1201,241
"8",8,-2165,380
"9",9,-1274,237
"10",10,-758,282
"11",11,-688,428
"12",12,-698,614
"13",13,-736,551
"14",14,-607,681
"15",15,-520,648
"16",16,-634,1016
"17",17,-820,1957
"18",18,-707,1668
"19",19,-644,1063
"20",20,-420,683
"21",21,-348,476
"22",22,-282,405
"23",23,-199,243
"24",24,0,0
