"","hour","starts","ends"
"1",1,-24,12
"2",2,-27,6
"3",3,-2,5
"4",4,-1,5
"5",5,-4,363
"6",6,-78,1150
"7",7,-235,2110
"8",8,-398,2154
"9",9,-400,987
"10",10,-300,361
"11",11,-492,427
"12",12,-654,535
"13",13,-514,581
"14",14,-505,423
"15",15,-643,355
"16",16,-1487,508
"17",17,-2651,560
"18",18,-1359,259
"19",19,-554,120
"20",20,-249,89
"21",21,-124,66
"22",22,-52,48
"23",23,-66,30
"24",24,0,0
