"","hour","starts","ends"
"1",1,-64,16
"2",2,-27,4
"3",3,-11,1
"4",4,-2,2
"5",5,-8,68
"6",6,-62,274
"7",7,-174,365
"8",8,-143,1043
"9",9,-170,700
"10",10,-249,584
"11",11,-346,786
"12",12,-435,738
"13",13,-589,602
"14",14,-641,591
"15",15,-704,530
"16",16,-873,488
"17",17,-1076,579
"18",18,-798,466
"19",19,-574,312
"20",20,-345,177
"21",21,-266,120
"22",22,-163,44
"23",23,-108,34
"24",24,0,0
