station_id,station_name,lon,lat,trip_starts,trip_ends
94,Charlestown - Main St at Austin St,-71.064608,42.375603,6064,5603
95,Cambridge St - at Columbia St / Webster Ave,-71.094445,42.372969,10397,9657
96,Cambridge Main Library at Broadway / Trowbridge St,-71.111075,42.373379,9764,9553
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,-71.11714124679565,42.36919031768079,6178,6197
98,Charlestown - Warren St at Chelsea St,-71.060292,42.371848,11411,10700
99,Wilson Square,-71.113341,42.385582,3758,3536
100,Davis Square,-71.123024,42.396969,10176,11822
102,Powder House Circle - Nathan Tufts Park,-71.116772,42.400877,1700,1590
103,JFK Crossing at Harvard St. / Thorndike St.,-71.128374,42.346563,3348,2862
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,-71.125107,42.380287,6415,6220
105,Lower Cambridgeport at Magazine St/Riverside Rd,-71.113687,42.356954,11254,11181
106,Mt Pleasant Ave / Dudley Town Common,-71.075354,42.325333,624,569
107,Ames St at Main St,-71.08822,42.3625,14748,15146
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,-71.116865,42.377945,7825,7898
109,TD Garden - Causeway at Portal Park #1,-71.060515,42.365942,18678,20524
110,Harvard University Gund Hall at Quincy St / Kirkland S,-71.114025,42.376369,9458,9560
111,Packard Ave / Powderhouse Blvd,-71.123413,42.40449,1861,1781
112,Somerville Hospital at Highland Ave / Crocker St,-71.10942,42.39082,2387,1673
113,Andrew Station - Dorchester Ave at Humboldt Pl,-71.057044,42.330716,2688,2536
114,Teele Square at 239 Holland St,-71.126908,42.402763,3258,2110
115,Porter Square Station,-71.119084,42.387995,10712,10342
116,359 Broadway - Broadway at Fayette Street,-71.104412,42.370803,9162,7912
117,Binney St / Sixth St,-71.086388,42.366095,7060,6922
118,Linear Park - Mass. Ave. at Cameron Ave.,-71.130516,42.397828,5649,5480
119,South Boston Library - 646 East Broadway,-71.03877,42.335741,4382,4593
120,Charles St at Beacon St,-71.069849,42.356052,9357,8886
121,West Broadway at Dorchester St,-71.045859,42.335693,4898,4416
122,BIDMC - Brookline at Burlington St,-71.100694,42.345733,2891,3107
123,JP Center - Centre Street at Myrtle Street,-71.11414,42.313156,2096,2290
124,Curtis Hall at South Street,-71.11543,42.309054,2071,2072
125,Hyde Square at Barbara St,-71.110833,42.320998,3458,3133
126,Egleston Square at Columbus Ave,-71.098634,42.315692,1148,896
128,E. Cottage St at Columbia Rd,-71.06198,42.320561,703,779
129,Hayes Square at Vine St.,-71.056605,42.377022,2447,2619
130,Upham's Corner - Ramsey St at Dudley St,-71.065421,42.317225,761,609
131,Jackson Square T at Centre St,-71.099533,42.322701,3141,2932
132,Summer St at Cutter St,-71.120406,42.394002,1565,1775
133,Green St T,-71.107341,42.310579,3154,3300
134,New Balance Store - Boylston at Dartmouth,-71.07655,42.350413,5766,5851
135,ID Building East,-71.028664,42.344827,3260,3366
136,ID Building West,-71.031614,42.344796,3906,4018
137,Magoun Square at Trum Field,-71.107818,42.398365,1266,1352
138,Mass Ave at Newmarket Square,-71.066498,42.326599,1196,1322
139,Dana Park,-71.107437,42.361589,5896,5404
140,Danehy Park,-71.132788,42.388966,2831,2792
141,Kendall Street,-71.08216792345047,42.363560158429884,6607,6622
142,Alewife Station at Russell Field,-71.139459,42.396105,3537,3676
143,EF - North Point Park,-71.069957,42.369885,5875,5822
145,Rindge Avenue - O'Neill Library,-71.129042,42.392766,1452,1527
149,Harvard University Transportation Services - 175 North Harvard St,-71.129164,42.363796,5127,4933
150,State Street at Channel Center,-71.052608,42.344137,5196,5254
151,John F Fitzgerald - Surface Road at India Street,-71.052163,42.358154999999996,7137,7392
152,Ink Block,-71.063187,42.345901,5773,5813
159,Heath St at South Huntington,-71.11089706420898,42.32797270205962,192,142
160,Wentworth Institute of Technology,-71.096391,42.337596,748,736
161,West Broadway at D Street,-71.0514432,42.3391085,706,733
162,Franklin Park - Seaver Street at Humbolt Ave,-71.092225,42.309796,65,40
163,Lawn on D,-71.044024,42.344792,558,511
167,Ryan Playground - Dorchester Avenue Station,-71.056664,42.317642,88,100
169,Edwards Playground - Main Street & Eden Street,-71.068607,42.378965,653,584
170,Franklin Park Zoo,-71.085347,42.303469,46,39
171,Bunker Hill Community College,-71.06905996799469,42.37408991426522,280,239
174,Washington St at Brock St,-71.1604106426239,42.34900494405213,116,127
175,Brighton Center,-71.15027189254761,42.34894857235593,240,229
176,Lesley University,-71.11901879310608,42.38674802045056,287,317
177,University Park,-71.10006093978882,42.36264779118595,858,760
178,MIT Pacific St at Purrington St,-71.10129475593567,42.35957320109044,1197,1079
179,MIT Vassar St,-71.10394477844238,42.355601213279265,894,835
180,Mt Auburn,-71.13320231437683,42.37478628706384,253,244
